langage,nbCores,segments,temps
GO,1,1000000000,1.19
GO,1,2000000000,2.38
GO,1,3000000000,3.58
GO,1,4000000000,4.77
GO,1,5000000000,5.96
GO,1,6000000000,7.15
GO,1,7000000000,8.35
GO,1,8000000000,9.54
GO,1,9000000000,10.73
GO,1,10000000000,11.93


C+,1,1000000000,6.00
C+,1,2000000000,11.99
C+,1,3000000000,17.99
C+,1,4000000000,23.99
C+,1,5000000000,29.99
C+,1,6000000000,35.99
C+,1,7000000000,41.97
C+,1,8000000000,47.99
C+,1,9000000000,53.98
C+,1,10000000000,59.97



GO,2,1000000000,0.59
GO,2,2000000000,1.19
GO,2,3000000000,1.79
GO,2,4000000000,2.38
GO,2,5000000000,2.98
GO,2,6000000000,3.58
GO,2,7000000000,4.17
GO,2,8000000000,4.77
GO,2,9000000000,5.37
GO,2,10000000000,5.96


C+,2,1000000000,3.00
C+,2,2000000000,5.99
C+,2,3000000000,8.99
C+,2,4000000000,11.99
C+,2,5000000000,15.03
C+,2,6000000000,17.99
C+,2,7000000000,20.99
C+,2,8000000000,23.99
C+,2,9000000000,26.98
C+,2,10000000000,30.00



GO,4,1000000000,0.31
GO,4,2000000000,0.60
GO,4,3000000000,0.89
GO,4,4000000000,1.20
GO,4,5000000000,1.49
GO,4,6000000000,1.79
GO,4,7000000000,2.09
GO,4,8000000000,2.38
GO,4,9000000000,2.68
GO,4,10000000000,2.99


C+,4,1000000000,1.50
C+,4,2000000000,3.00
C+,4,3000000000,4.50
C+,4,4000000000,6.00
C+,4,5000000000,7.50
C+,4,6000000000,9.00
C+,4,7000000000,10.50
C+,4,8000000000,12.00
C+,4,9000000000,13.50
C+,4,10000000000,15.00



GO,8,1000000000,0.15
GO,8,2000000000,0.30
GO,8,3000000000,0.45
GO,8,4000000000,0.60
GO,8,5000000000,0.80
GO,8,6000000000,0.89
GO,8,7000000000,1.04
GO,8,8000000000,1.19
GO,8,9000000000,1.34
GO,8,10000000000,1.49


C+,8,1000000000,0.75
C+,8,2000000000,1.54
C+,8,3000000000,2.27
C+,8,4000000000,3.00
C+,8,5000000000,3.76
C+,8,6000000000,4.50
C+,8,7000000000,5.26
C+,8,8000000000,6.50
C+,8,9000000000,6.76
C+,8,10000000000,7.86



GO,16,1000000000,0.11
GO,16,2000000000,0.21
GO,16,3000000000,0.33
GO,16,4000000000,0.41
GO,16,5000000000,0.52
GO,16,6000000000,0.53
GO,16,7000000000,0.70
GO,16,8000000000,0.88
GO,16,9000000000,0.96
GO,16,10000000000,1.04


C+,16,1000000000,0.68
C+,16,2000000000,1.16
C+,16,3000000000,1.64
C+,16,4000000000,2.28
C+,16,5000000000,2.97
C+,16,6000000000,3.56
C+,16,7000000000,3.91
C+,16,8000000000,4.27
C+,16,9000000000,5.98
C+,16,10000000000,5.70



GO,32,1000000000,0.08
GO,32,2000000000,0.16
GO,32,3000000000,0.21
GO,32,4000000000,0.26
GO,32,5000000000,0.36
GO,32,6000000000,0.41
GO,32,7000000000,0.48
GO,32,8000000000,0.79
GO,32,9000000000,0.57
GO,32,10000000000,0.75


C+,32,1000000000,0.46
C+,32,2000000000,0.91
C+,32,3000000000,1.50
C+,32,4000000000,1.80
C+,32,5000000000,2.50
C+,32,6000000000,2.93
C+,32,7000000000,3.60
C+,32,8000000000,3.77
C+,32,9000000000,4.37
C+,32,10000000000,4.61
