language,nbCores,segments,temps

GO,1,100000000,0.11
GO,1,200000000,0.24
GO,1,300000000,0.35
GO,1,400000000,0.48
GO,1,500000000,0.59
GO,1,600000000,0.71
GO,1,700000000,0.83
GO,1,800000000,0.95
GO,1,900000000,1.07
GO,1,1000000000,1.19


C+,1,100000000,0.60
C+,1,200000000,1.20
C+,1,300000000,1.80
C+,1,400000000,2.40
C+,1,500000000,2.99
C+,1,600000000,3.60
C+,1,700000000,4.20
C+,1,800000000,4.79
C+,1,900000000,5.40
C+,1,1000000000,6.00



GO,2,100000000,0.12
GO,2,200000000,0.24
GO,2,300000000,0.35
GO,2,400000000,0.47
GO,2,500000000,0.59
GO,2,600000000,0.71
GO,2,700000000,0.83
GO,2,800000000,0.95
GO,2,900000000,1.07
GO,2,1000000000,1.19


C+,2,100000000,0.60
C+,2,200000000,1.20
C+,2,300000000,1.80
C+,2,400000000,2.40
C+,2,500000000,3.00
C+,2,600000000,3.60
C+,2,700000000,4.20
C+,2,800000000,4.79
C+,2,900000000,5.40
C+,2,1000000000,6.01



GO,4,100000000,0.12
GO,4,200000000,0.23
GO,4,300000000,0.35
GO,4,400000000,0.47
GO,4,500000000,0.59
GO,4,600000000,0.71
GO,4,700000000,0.83
GO,4,800000000,0.95
GO,4,900000000,1.07
GO,4,1000000000,1.19


C+,4,100000000,0.60
C+,4,200000000,1.20
C+,4,300000000,1.80
C+,4,400000000,2.40
C+,4,500000000,3.00
C+,4,600000000,3.60
C+,4,700000000,4.20
C+,4,800000000,4.80
C+,4,900000000,5.40
C+,4,1000000000,6.00



GO,8,100000000,0.12
GO,8,200000000,0.24
GO,8,300000000,0.36
GO,8,400000000,0.48
GO,8,500000000,0.59
GO,8,600000000,0.71
GO,8,700000000,0.83
GO,8,800000000,0.95
GO,8,900000000,1.07
GO,8,1000000000,1.19


C+,8,100000000,0.60
C+,8,200000000,1.20
C+,8,300000000,1.80
C+,8,400000000,2.41
C+,8,500000000,2.99
C+,8,600000000,3.60
C+,8,700000000,4.21
C+,8,800000000,4.81
C+,8,900000000,5.41
C+,8,1000000000,6.01



GO,16,100000000,0.09
GO,16,200000000,0.29
GO,16,300000000,0.38
GO,16,400000000,0.51
GO,16,500000000,0.64
GO,16,600000000,0.86
GO,16,700000000,0.94
GO,16,800000000,1.03
GO,16,900000000,1.20
GO,16,1000000000,1.26


C+,16,100000000,0.72
C+,16,200000000,1.70
C+,16,300000000,2.43
C+,16,400000000,2.65
C+,16,500000000,4.34
C+,16,600000000,4.01
C+,16,700000000,5.05
C+,16,800000000,6.28
C+,16,900000000,6.22
C+,16,1000000000,7.44



GO,32,100000000,0.13
GO,32,200000000,0.33
GO,32,300000000,0.47
GO,32,400000000,0.71
GO,32,500000000,0.82
GO,32,600000000,0.96
GO,32,700000000,1.27
GO,32,800000000,1.42
GO,32,900000000,1.58
GO,32,1000000000,1.69


C+,32,100000000,0.92
C+,32,200000000,1.92
C+,32,300000000,2.91
C+,32,400000000,3.70
C+,32,500000000,5.55
C+,32,600000000,5.99
C+,32,700000000,6.90
C+,32,800000000,8.10
C+,32,900000000,9.70
C+,32,1000000000,11.94
